city,lat,lon,temp,cloud,wind speed,humidity,country
gorontalo,0.5412,123.0595,25.06,100,1.34,87,ID
san carlos del zulia,9.0,-71.9135,26.17,9,2.07,70,VE
mamallapuram,12.6264,80.1722,29.03,100,4.49,74,IN
geraldton,-28.7667,114.6,16.23,75,7.72,72,AU
benoy,8.9833,16.3199,23.34,100,1.74,87,TD
batemans bay,-35.7167,150.1833,12.17,26,0.57,50,AU
petropavlovsk-kamchatskiy,53.0452,158.6483,22.33,0,2.0,49,RU
poyarkovo,49.6,128.6833,24.42,98,2.17,72,RU
saldanha,-33.0117,17.9442,11.68,27,4.99,80,ZA
kudahuvadhoo,2.6708,72.8944,28.2,57,6.71,76,MV
richards bay,-28.783,32.0377,16.48,80,5.25,79,ZA
kapuskasing,49.4169,-82.4331,11.27,100,1.68,57,CA
pimentel,-6.8367,-79.9342,17.75,64,6.94,81,PE
tiksi,71.6872,128.8694,7.24,100,3.99,67,RU
isangel,-19.55,169.2667,26.45,17,1.98,69,VU
bonthe,7.5264,-12.505,24.35,100,3.36,91,SL
hambantota,6.1241,81.1185,25.19,20,1.03,100,LK
umm kaddadah,13.6017,26.6876,28.37,100,4.34,50,SD
port said,31.2565,32.2841,24.99,0,4.12,88,EG
tasiilaq,65.6145,-37.6368,3.09,100,3.6,98,GL
phayao,19.25,100.25,23.25,54,0.41,90,TH
tuatapere,-46.1333,167.6833,5.86,96,3.79,74,NZ
aitape,-3.1374,142.3475,29.35,100,1.55,69,PG
ancud,-41.8697,-73.8203,7.9,100,6.31,87,CL
le mars,42.7942,-96.1656,23.21,90,4.12,88,US
capao da canoa,-29.7456,-50.0097,15.41,7,4.18,89,BR
paita,-5.0892,-81.1144,18.36,8,7.51,82,PE
north myrtle beach,33.816,-78.68,26.08,100,0.45,87,US
minna,9.6139,6.5569,24.03,77,1.95,76,NG
gambela,8.25,34.5833,19.47,100,0.74,93,ET
killybegs,54.6333,-8.45,13.03,25,2.85,95,IE
kumba,4.6363,9.4469,22.13,96,0.13,94,CM
bela,25.9333,81.9833,34.33,56,2.31,46,IN
atkinson,42.8384,-71.147,23.61,1,0.45,78,US
fort-shevchenko,44.5086,50.263,27.04,100,7.1,71,KZ
eyl,7.9803,49.8164,26.13,100,11.7,65,SO
akdepe,42.0551,59.3788,31.0,0,3.94,28,TM
sinnamary,5.3833,-52.95,25.13,4,2.27,85,GF
krasnoselkup,65.7,82.4667,12.69,3,5.06,49,RU
severo-kurilsk,50.6789,156.125,11.88,4,3.06,76,RU
dongkan,33.9997,119.8308,22.6,100,1.22,99,CN
malpe,13.35,74.7167,25.61,89,0.74,86,IN
yanam,16.7333,82.2167,27.22,100,1.76,78,IN
nikolskoye,59.7035,30.7861,17.6,52,2.36,74,RU
shambu,9.5667,37.1,10.49,99,1.22,98,ET
beringovskiy,63.05,179.3167,7.27,97,2.22,80,RU
kruisfontein,-34.0033,24.7314,6.48,7,1.81,66,ZA
akyab,20.15,92.9,25.95,100,4.89,90,MM
henties bay,-22.116,14.2845,11.03,0,2.71,87,NA
santa barbara,34.7333,-120.0343,17.21,1,4.63,55,US
shalya,57.2471,58.7298,10.76,1,0.77,76,RU
freetown,8.484,-13.2299,24.45,100,2.87,90,SL
port macquarie,-31.4333,152.9167,14.89,59,2.43,65,AU
zhigansk,66.7697,123.3711,15.29,100,5.44,86,RU
mount gambier,-37.8333,140.7667,9.15,100,3.51,72,AU
